Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,longBusinessSummary,industry,fullTimeEmployees,marketCap, totalRevenue ,revenueGrowth,grossMargins,operatingMargins,profitMargins,returnOnEquity,debtToEquity,trailingPE,forwardPE,dividendYield,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,currentPrice
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/82,14693,1870,,,,,,,,,,,,,,,,,,
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",12/18/23,1316835,1998,"Builders FirstSource, Inc., together with its subsidiaries, provides building materials for professional builders in new residential construction and repair, and remodeling in the United States. It offers manufactured products, such as factory-built substitutes for job-site framing, wood floor and roof trusses, wall panels, and engineered wood; Ready-Frame, a whole house framing solution; manufactured and semi-custom modular homes, and built in a temperature-controlled facility under its Pine Grove Homes and Pleasant Valley Homes brand names; manufactured housing plans including ranch, community, and single-section homes; manufacturing, assembly, and distribution of windows; and the assembly and distribution of interior and exterior door units. The company also provides millwork, including interior trim and custom features under the Synboard brand name; specialty building products and services comprising vinyl, composite and wood siding, exterior trim, metal studs, cement, roofing, insulation, wallboard, ceilings, cabinets, and hardware; turn-key framing, shell construction, design assistance, and professional installation of products. In addition, it offers drafting, estimating, quoting, and virtual home design services to retailers, distributors, manufacturers, and homebuilders; dimensional lumber, plywood, and oriented strand board products used in on-site house framing. The company was formerly known as BSL Holdings, Inc. and changed its name to Builders FirstSource, Inc. in October 1999. Builders FirstSource, Inc. was incorporated in 1998 and is based in Irving, Texas.",Building Products & Equipment,28000,10361483264," 15,190,637,568 ",-0.121,0.30386,0.0184,0.02865,10.1%,117.2,24.1,12.2,,1.564,151.03,89.41,93.68
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",3/15/23,1996862,1818,"Bunge Global SA operates as an agribusiness and food company worldwide. It operates through four segments: Soybean Processing and Refining, Softseed Processing and Refining, Other Oilseeds Processing and Refining, and Grain Merchandising and Milling. The Soybean Processing and Refining segment is involved in the purchase, storage, transportation, processing, distribution, refining, marketing, and sale of soybeans and soybean related products, as well as biodiesel and fertilizer production and distribution for the food, animal feed and biofuel industries. The Softseed Processing and Refining segment is involved in the purchase, storage, transportation, processing, distribution, refining, marketing, and sale of softseeds and softseed related products, as well as biodiesel production and distribution. The Other Oilseeds Processing and Refining Segment is involved in products of a specialty nature, including the purchase, storage, transportation, processing, distribution, refining, marketing, and sale of these related products. The Grain Merchandising and Milling segment is involved in the purchase, storage, transportation, distribution, and marketing of commodities primarily consisting of corn, wheat, barley, cotton, pulses, and sugar; milling of wheat and sugar; and related services including ocean freight and financial services. Bunge Global SA was founded in 1818 and is headquartered in Chesterfield, Missouri.",Farm Products,34000,23172712448," 70,328,999,936 ",0.755,0.04847,0.01258,0.0116,6.0%,91.0,24.3,12.0,2.36,0.743,124.78,68.33,119.75
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",4/3/06,1037540,1970,"BXP, Inc. is the largest publicly traded developer, owner, and manager of premier workplaces in the United States, concentrated in six dynamic gateway markets - Boston, Los Angeles, New York, San Francisco, Seattle, and Washington, DC. BXP has delivered places that power progress for our clients and communities for more than 55 years. BXP is a fully integrated real estate company, organized as a real estate investment trust (REIT). As of December 31, 2025, including properties owned by joint ventures, BXP's portfolio totals 52.6 million square feet and 179 properties, including 8 properties under construction/redevelopment. BXP's properties include 157 office properties, 14 retail properties (including one retail property under construction), seven residential properties (including three residential properties under construction) and one hotel. BXP is well-known for its in-house building management expertise and responsiveness to clients' needs. BXP holds a superior track record of developing premium Central Business District (CBD) office buildings, successful mixed-use complexes, suburban office centers and build-to-suit projects for a diverse array of creditworthy clients. BXP actively works to promote its growth and operations in a sustainable and responsible manner. BXP, an S&P 500 company, was founded in 1970 by Mortimer B. Zuckerman and Edward H. Linde and became a public company in 1997.",REIT - Office,826,9461924864," 3,153,085,952 ",-0.319,0.56444,-0.06589,0.087790005,4.9%,226.0,30.7,23.0,5.34,1.032,79.33,49.72,53.44
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/07,1043277,1905,"C.H. Robinson Worldwide, Inc., together with its subsidiaries, provides freight transportation and related logistics and supply chain services in the United States and internationally. It operates in two segments, North American Surface Transportation and Global Forwarding. The company offers transportation and logistics services, such as truckload; less than truckload transportation brokerage services, which include the shipment of single or multiple pallets of freight; intermodal transportation that comprises the shipment service of freight in containers or trailers by a combination of truck and rail; and non-vessel operating common carrier and freight forwarding services, as well as organizes indirect air carrier and freight forwarder providing door-to-door services. It also provides customs brokerage services; and other logistics services, such as fee-based managed, warehousing, supply chain consulting and optimization services, and other services. In addition, the company is involved in the buying, selling, and/or marketing of fresh fruits, vegetables, and other value-added perishable items under the Robinson Fresh trade name. Further, the company offers transportation management and other surface transportation services. It provides fresh produce to grocery retailers, restaurants, produce wholesalers. C.H. Robinson Worldwide, Inc. was founded in 1905 and is headquartered in Eden Prairie, Minnesota.",Integrated Freight & Logistics,11736,20860659712," 16,232,763,392 ",-0.065,0.08550999,0.05071,0.036170002,32.9%,75.6,36.5,24.6,1.38,0.903,203.34,84.68,175.86
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/17,813672,1988,"Cadence Design Systems, Inc. develops computational, AI-driven software, hardware, and silicon intellectual property (IP) products and solutions. The company offers functional verification services, such as Jasper, a formal verification platform; Xcelium, a parallel logic simulation platform; Verisium, a generative AI solution; Palladium, an enterprise emulation platform; and Protium, a prototyping platform for chip verification, as well as digital IC design and sign off products, including Innovus platform; and custom IC design and simulation product include Virtuoso, a platform to design and verify analog. It also provides Xcelium logic simulator and other front-end verification and virtual prototyping technologies; controllers and physical interfaces; PCI express, universal accelerator and compute express links, and multiple memory interfaces; and Tensilica, a digital signal processor. In addition, the company's design IP portfolio includes high-speed serializer/deserializer, peripheral component interconnect, USB, and other standard protocols; and Secure-IC, a solution for embedded security IP. Additionally, it provides System Design and Analysis (SD&A) platform, a solution that enables critical end-to-end system-level design and verification across chips, packages, PCBs, and complete electronic systems; Allegro X and OrCAD X platforms for PCB and advanced packaging; Sigrity X for signal and power integrity; AWR for RF design; Fidelity for computational fluid dynamics; Celsius for thermal and airflow analysis; Clarity 3D solver for electromagnetic and power electronics analysis and simulation; Integrity 3D-IC solution for advanced 3D-IC and multi-chiplet designs; the optimality intelligent system explorer, Reality digital twin, and Millennium enterprise multiphysics platforms; Allegro system design platform; and molecular modeling and simulation solutions and services. The company was incorporated in 1987 and is headquartered in San Jose, California.",Software - Application,13800,80911523840," 5,296,758,784 ",0.062,0.86364,0.32824,0.20934999,21.9%,48.7,72.4,31.2,,1.025,376.45,221.56,293.29
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",4/4/22,906345,1981,"Camden Property Trust, an S&P 500 Company, is a real estate company. The firm is primarily engaged in the ownership, management, development, redevelopment, acquisition, and construction of multifamily apartment communities. Camden owns and operates 172 properties containing 58,759 apartment homes across the United States. Upon completion of 3 properties currently under development, the Company's portfolio will increase to 59,921 apartment homes in 175 properties.",REIT - Residential,1640,11023620096," 1,586,766,976 ",0.022,0.61731,0.19797,0.24229,8.6%,88.4,29.3,59.4,4.03,0.821,124.32,97.17,103.61
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/57,16732,1869,"The Campbell's Company, together with its subsidiaries, manufactures and markets food and beverage products in the United States and internationally. It operates through Meals & Beverages, and Snacks segments. The Meals & Beverages segment engages in the retail and foodservice businesses in the United States and Canada. This segment provides Campbell's condensed and ready-to-serve soups; Swanson broth and stocks; Pacific Foods broth, soups, and non-dairy beverages; Prego pasta sauces; Pace Mexican sauces; Campbell's gravies, pasta, beans, and dinner sauces; Swanson canned poultry; V8 juices and beverages; Campbell's tomato juice; Rao's pasta sauces, dry pasta, frozen entrées, frozen pizza, and soups; and Michael Angelo's frozen entrées and pasta sauces, as well as snacking products in foodservice in Canada. Its Snacks segment retails Pepperidge Farm cookies, crackers, fresh bakery, and frozen products, that includes Goldfish crackers, Snyder's of Hanover pretzels, Lance sandwich crackers, Cape Cod and Kettle Brand potato chips, Late July snacks, Snack Factory pretzel crisps, and other snacking products. This segment is also involved in the snacking, and meals and beverage retail business in Latin America. It sells its products through retail food chains, mass discounters and merchandisers, club stores, convenience and dollar stores, e-commerce and other retail, commercial, and non-commercial establishments, and independent contractor distributors. The company was formerly known as Campbell Soup Company and changed its name to The Campbell's Company in November 2024. The Campbell's Company was founded in 1869 and is headquartered in Camden, New Jersey.",Packaged Foods,13700,7357953024," 10,158,000,128 ",-0.034,0.30271998,0.14232,0.056900002,14.8%,184.6,12.7,9.6,6.17,-0.064,42.21,24.64,24.68
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/98,927628,1994,"Capital One Financial Corporation operates as the financial services holding company for the Capital One, National Association, which engages in the provision of various financial products and services in the United States, Canada, and the United Kingdom. It operates through three segments: Credit Card, Consumer Banking, and Commercial Banking. The company accepts checking accounts, money market deposits, negotiable order of withdrawals, savings deposits, time deposits, and sweep accounts. Its loan products include credit card and personal loans; auto and retail banking loans; and commercial and multifamily real estate, and commercial and industrial loans. The company offers credit and debit card products; bank lending; and provides advisory, capital markets, net interchange, treasury management, and depository services. It serves consumers, small businesses, and commercial clients through digital channels, branches, cafés, and other distribution channels located in New York, Louisiana, Texas, Maryland, Virginia, New Jersey, and the District of Columbia. Capital One Financial Corporation was founded in 1988 and is headquartered in McLean, Virginia.",Credit Services,76300,1.14976E+11," 32,778,999,808 ",0.516,0,0.22935,0.074829996,2.4%,,55.0,7.5,1.72,1.139,259.64,143.22,184.87
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,1971,"Cardinal Health, Inc. operates as a healthcare services and products company in the United States and internationally. It operates in two segments: Pharmaceutical and Specialty Solutions, and Global Medical Products and Distribution. The company provides customized solutions for hospitals, healthcare systems, pharmacies, ambulatory surgery centers, clinical laboratories, physician offices, and patients in the home. It distributes branded and generic pharmaceutical, specialty pharmaceutical, and over-the-counter healthcare and consumer products. The company also provides services to pharmaceutical manufacturers and healthcare providers for specialty pharmaceutical products; pharmacy management services to hospitals; operates pharmacies, including pharmacies in community health centers; and repackages generic pharmaceuticals and over-the-counter healthcare products. In addition, it manufactures, sources, and distributes Cardinal Health branded medical, surgical, and laboratory products and devices that include exam and surgical gloves; needles, syringe, and sharps disposals; compression, incontinence, nutritional delivery, and wound care products; single-use surgical drapes, gowns, and apparel products; fluid suction and collection systems; urology products; operating room supply products; and electrode product lines. Further, the company distributes a range of national brand products, including medical, surgical, and laboratory products; provides supply chain services and solutions to hospitals, ambulatory surgery centers, clinical laboratories, and other healthcare providers; and assembles and sells sterile and non-sterile procedure kits. Additionally, it manufactures, prepares, and delivers radiopharmaceuticals; and optimizes direct shipments through integrated technology solutions. The company was incorporated in 1979 and is headquartered in Dublin, Ohio.",Medical Distribution,53084,51072987136," 244,673,003,520 ",0.188,0.03695,0.01233,0.00679,,,31.2,18.7,0.92,0.616,233.6,120.72,217.04
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,1972,"Carnival Corporation & plc, a cruise company, provides leisure travel services in North America, Australia, Europe, and internationally. The company operates through four segments: North America Cruise Operations, Europe Cruise Operations, Cruise Support, and Tour and Other. It operates port destinations and islands, as well as owns and operates hotels, lodges, glass-domed railcars, and motorcoaches. The company offers its services under the AIDA Cruises, Carnival Cruise Line, Costa Cruises, Cunard, Holland America Line, P&O Cruises (Australia), P&O Cruises (UK), Princess Cruises, and Seabourn brands. It sells its cruises through travel agents, tour operators, vacation planners, websites, and onboard future cruise consultants. Carnival Corporation & plc was founded in 1972 and is headquartered in Miami, Florida.",Travel Services,160000,36304506880," 26,621,999,104 ",0.066,0.55548,0.09652001,0.10366999,25.6%,227.9,13.0,9.3,0.57,2.459,34.03,15.07,26.21
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/20,1783180,"2020 (1915, United Technologies spinoff)","Carrier Global Corporation provides intelligent climate and energy solutions in the United States, Europe, the Asia Pacific, and internationally. It operates through four segments: Climate Solutions Americas; Climate Solutions Europe; Climate Solutions Asia Pacific, Middle East & Africa; and Climate Solutions Transportation. The company provides air conditioners, heating systems, heat pumps, home and building energy management systems, automation systems, aftermarket components, and repair and maintenance and rental services, as well as modernization and upgrades to meet the heating, cooling, and ventilation needs of residential and commercial customers. It also offers transport refrigeration and monitoring products, services, and digital solutions for trucks, trailers, shipping containers, and intermodal and rail applications. The company offers its products under the Carrier, Viessmann, Toshiba, Automated Logic, Bryant, CIAT, Day & Night, Heil, NORESCO, Carrier Transicold, and Sensitech brands. The company was incorporated in 2019 and is headquartered in Palm Beach Gardens, Florida.",Building Products & Equipment,47000,48838361088," 21,746,999,296 ",-0.06,0.26054,0.01923,0.06824,10.9%,87.7,34.6,18.4,1.63,1.289,81.09,50.24,58.43
CVNA,Carvana,Consumer Discretionary,Automotive Retail,"Tempe, Arizona",12/22/25,1690820,2012,"Carvana Co., together with its subsidiaries, operates an e-commerce platform for buying and selling used cars. It provides vehicle acquisition, inspection and reconditioning, online search and shopping experience, financing, complementary products, logistics network and distinctive fulfillment experience, and post-sale customer support services. The company also operates auction sites. Carvana Co. was founded in 2012 and is based in Tempe, Arizona.",Auto & Truck Dealerships,23100,69856108544," 20,322,000,896 ",0.58,0.20628001,0.07567,0.06924,67.9%,133.1,37.8,29.9,,3.673,486.89,148.25,318.77
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",3/4/57,18230,1925,"Caterpillar Inc. provides construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines, and diesel-electric locomotives in the United States and internationally. The Construction Industries segment offers asphalt pavers, cold planers, compactors, forestry machines, material handlers, motor graders, pipelayers, road reclaimers, telehandlers, track-type tractors, and track and wheel excavators; backhoe, compact track, skid steer, track-type, and wheel loaders; and related parts and work tools. Its Resource Industries segment provides electric rope and hydraulic shovels, draglines, rotary drills, hard rock vehicles, mining trucks, wheel loaders, off-highway and articulated trucks, wide-body trucks, wheel tractor scrapers and dozers, and landfill and soil compactors; machinery components, and wear and maintenance components; and technology products and services for fleet management, equipment management analytics, autonomous machine capabilities, safety services, and mining performance solutions. The Energy & Transportation segment offers reciprocating engine powered generator sets; reciprocating engines, drivetrain, and integrated systems and solutions; centrifugal gas compressors and related services; and diesel-electric locomotive components, and other rail-related products. Its Financial Products segment provides operating and finance leases, revolving charge accounts, installment sale contracts, repair/rebuild financing, working capital loans, and wholesale financing; and insurance and risk management products and services. The All Other segment offers parts distribution; logistics and distribution services; electronics and control systems; dealer portfolio management; brand management and marketing strategy; and digital investment services. It also provides mining software solutions. The company was formerly known as Caterpillar Tractor Co. Caterpillar Inc. was incorporated in 1925 and is headquartered in Irving, Texas.",Farm & Heavy Construction Machinery,118000,3.35392E+11," 67,589,001,216 ",0.18,0.28795,0.16025,0.13144,43.5%,206.7,38.1,25.9,0.86,1.531,789.81,267.3,716.68
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,1973,"Cboe Global Markets, Inc., through its subsidiaries, operates as a derivatives and securities exchange network that delivers cutting-edge trading, clearing, and investment solutions in the United States and internationally. It operates through five segments: Options, North American Equities, Europe and Asia Pacific, Futures, and Global FX. The Options segment includes options on market indices, as well as on the stocks of individual corporations and on trading solutions and products in multiple asset classes, including equities, derivatives, and FX, across North America, Europe, and Asia Pacific (ETPs), such as exchange-traded funds (ETFs) and exchange-traded notes (ETNs); and trading in listed options through a single system. The North American Equities segment comprising U.S. equities and ETP transaction services. This segment also includes listing services on Cboe Canada, ETP listings on BZX, the Cboe Global Markets, Inc. common stock listing, and applicable market data. The Europe and Asia Pacific segment provides pan-European derivatives transaction services, ETPs, including exchange traded funds, exchange traded notes, and exchange traded commodities, and international depository receipts; and ETP listings business on regulated markets and clearing activities, as well as the equities services. The Futures segment offers transaction services, which includes trading of VIX futures and other futures products, the licensing of proprietary market data, as well as access and capacity services. The Global FX segment provides institutional foreign exchange (FX) trading and non-deliverable forward FX transactions services. It has strategic relationships with S&P Dow Jones Indices, LLC; Frank Russell Company; and FTSE International Limited. The company was formerly known as CBOE Holdings, Inc. and changed its name to Cboe Global Markets, Inc. in October 2017. Cboe Global Markets, Inc. was founded in 1973 and is headquartered in Chicago, Illinois.",Financial Data & Stock Exchanges,1661,29884719104," 4,714,200,064 ",0.087,0.51527,0.36196,0.23334,23.4%,31.0,27.4,22.5,0.93,0.336,305.68,200.88,285.52
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/06,1138118,1906,"CBRE Group, Inc. operates as a commercial real estate services and investment company in the United States, the United Kingdom, and internationally. The company operates through Advisory Services, Building Operations and Experience, Project Management, and Real Estate Investments segments. The Advisory Services segment offers strategic advice and execution to owners, investors, and occupiers of real estate in connection with leasing of offices, and industrial and retail space; clients fully integrated property sales services under the CBRE Capital Markets brand; clients commercial mortgage and structured financing services; originates and sells commercial mortgage loans; property management services, such as marketing, building engineering, lease administration, accounting, investment reporting services, financial services on a contractual basis for owners of and investors in office, industrial, and retail properties; and valuation services that include market value appraisals, litigation support, discounted cash flow analyses, and feasibility studies, as well as consulting services, such as property condition reports, hotel advisory, and environmental consulting. The Global Workplace Solutions segment provides facilities management, and project management services comprising building consulting, program, and project and cost management services under the Turner & Townsend brand name. The Real Estate Investments segment offers investment management services under the CBRE Investment Management brand to pension funds, insurance companies, sovereign wealth funds, foundations, endowments, and other institutional investors and development services, such as real estate development and investment activities under the Trammell Crow Company brand to users and investors in commercial real estate, and for their own account. CBRE Group, Inc. was founded in 1906 and is headquartered in Dallas, Texas.",Real Estate Services,155000,40053039104," 40,549,998,592 ",0.118,0.18658,0.0012,0.02853,13.6%,106.2,35.0,15.5,,1.341,174.27,108.45,134.59
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",9/23/19,1402057,1984,"CDW Corporation provides information technology (IT) solutions in the United States, the United Kingdom, and Canada. It operates through three segments: Commercial, Government, and Education. The company offers discrete hardware and software products and services, as well as integrated IT solutions, including on-premise and cloud capabilities across hybrid infrastructure, digital experience, and security. It also provides hardware products comprising notebooks/mobile devices, tablets, network communications, collaboration hardware, data storage and servers, desktop computers, and other hardware; and software products, such as cloud solutions, software assurance, application suites, security, virtualization, collaboration and productivity applications, operating systems, and network management. In addition, the company offers advisory and design, software development, implementation, and managed services, as well as warranties. It serves business, government, education, and healthcare customers. The company was formerly known as CDW Computer Centers, Inc. and changed its name to CDW Corporation in June 2003. CDW Corporation was founded in 1984 and is based in Vernon Hills, Illinois.",Information Technology Services,14800,15447478272," 22,424,100,864 ",0.063,0.21733,0.07309,0.04756,43.0%,236.9,14.7,10.5,2.09,1.046,192.3,117,118.65
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/01,1140859,1985,"Cencora, Inc. sources and distributes pharmaceutical products in the United States and internationally. The company's U.S. Healthcare Solutions segment distributes generic and injectable pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and alternate site pharmacies, and other customers; distributes plasma and other blood products, vaccines, and other specialty pharmaceutical products; provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; packaging solutions to institutional and retail healthcare providers; clinical trial support, product post-approval, and commercialization support services; data analytics, outcomes research, and other services for biotechnology and pharmaceutical manufacturers; pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and other products to the companion animal and production animal markets; sales force services to manufacturers; and offers other services to physicians who specialize in various disease states, such as oncology, as well as to other healthcare providers, including hospitals and dialysis clinics. Its International Healthcare Solutions segment provides international pharmaceutical wholesale and related service, and global commercialization services; distributes pharmaceuticals, other healthcare products, and related services to pharmacies, doctors, health centers, and hospitals; and offers specialty transportation and logistics services for the biopharmaceutical industry. The company was formerly known as AmerisourceBergen Corporation and changed its name to Cencora, Inc. in August 2023. Cencora, Inc. was founded in 1871 and is headquartered in Conshohocken, Pennsylvania.",Medical Distribution,47000,68511764480," 325,777,784,832 ",0.055,0.03613,0.01181,0.00499,133.5%,472.6,42.3,17.9,0.66,0.646,377.54,251.94,352.19
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/16,1071739,1984,"Centene Corporation operates as a managed care company that provides programs and services to under-insured families, and commercial organizations in the United States. It operates through four segments: Medicaid, Medicare, Commercial, and Other. The Medicaid segment offers the temporary assistance for needy families; medicaid expansion; aged, blind, or disabled; and children's health insurance programs, as well as long-term services and supports; foster care; and medicare-medicaid plans. This segment also provides healthcare products and services. The Medicare segment offers special needs and medicare supplement, and prescription drug plans. The Commercial segment provides health insurance marketplace product for individual and commercial group. The Other segment operates clinical healthcare and pharmacies, as well as offers vision and dental, behavioral health, and centralized services. It provides services through primary and specialty care physicians, hospitals, behavioral health practitioners, and ancillary providers. The company was founded in 1984 and is headquartered in Saint Louis, Missouri.",Healthcare Plans,61100,17900466176," 176,151,003,136 ",0.232,0.104729995,-0.01878,-0.037890002,-28.7%,90.6,,8.8,,0.459,66.03,25.08,36.4
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/85,1130310,1882,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The company operates through Electric; Natural Gas; and Corporate and Other segments. The Electric segment provides electric transmission and distribution services to electric customers and electric generation assets, as well as optimizes assets in the wholesale power market in Indiana Electric's service territory. The Natural Gas segment engages in the intrastate natural gas sales, and natural gas transportation and distribution for residential, commercial, and industrial customers in Indiana, Minnesota, Ohio, and Texas; permanent pipeline connections through interconnects with various interstate and intrastate pipeline companies; and provides home appliance maintenance and repair services to customers in Minnesota and home repair protection plans to natural gas customers in Indiana, Mississippi, Ohio, and Texas through a third party. As of December 31, 2025, it served approximately 2,859,313 metered customers; owned 355 substations with transformer capacity of 81,692 megavolt amperes; and owned and operated approximately 208 miles of intrastate pipeline in Louisiana and Texas. The company was founded in 1866 and is headquartered in Houston, Texas.",Utilities - Regulated Electric,8794,28233687040," 9,356,999,680 ",0.107,0.45421,0.21476999,0.11243,9.6%,206.6,27.0,20.7,2.12,0.539,44.04,34.27,43.16
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,1946,"CF Industries Holdings, Inc., together with its subsidiaries, engages in the production of ammonia in North America, Europe, and internationally. It operates through Ammonia, Granular Urea, UAN, AN, and Other segments. The company offers ammonia products; nitrogen products, such as granular urea, urea ammonium nitrate solution, and ammonium nitrate; diesel exhaust fluid, urea liquor, and nitric acid products. It serves cooperatives, retailers, independent fertilizer distributors, traders, wholesalers, and industrial users. The company was founded in 1946 and is headquartered in Northbrook, Illinois.",Agricultural Inputs,2900,17165009920," 7,084,000,256 ",0.228,0.38452998,0.3531,0.20538999,23.4%,46.8,12.3,15.8,1.8,0.689,121.8,67.34,110.05
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/21,1100682,1947,"Charles River Laboratories International, Inc. provides drug discovery, non-clinical development, and safety testing services in the United States, Europe, Canada, the Asia Pacific, and internationally. The Research Models and Services segment produces and sells rodents, and purpose-bred rats and mice for use by researchers. This segment also provides a range of services to assist its clients in supporting the use of research models in research and screening pre-clinical drug candidates, including genetically engineered models and services, insourcing solutions, and research animal diagnostic services; and engages in development and production of cell therapies. The Discovery and Safety Assessment segment offers in vitro and in vivo discovery services for the discovery, development, and safety testing of novel drugs, molecule compounds, oligonucleotides, and biotherapeutics, and antibodies through delivery of preclinical drug and therapeutic candidates ready for safety assessment; safety assessment services, such as toxicology, pathology, safety pharmacology, bioanalysis, drug metabolism, and pharmacokinetics services; and vivarium space services. The Manufacturing Solutions segment provides in vitro methods for conventional and rapid quality control testing of sterile and non-sterile pharmaceuticals and consumer products; offers specialized testing of biologics that are outsourced by pharmaceutical and biotechnology companies; and contract development and manufacturing products and services. The company has strategic collaborations with Parker Institute for Cancer Immunotherapy and Children's Hospital Los Angeles across its contract development and manufacturing organization. Additionally, it has a strategic alliance with Francis Crick Institute (Crick), Inc. for the development of Antibody-Drug Conjugate (ADC) drug discovery and development. Charles River Laboratories International, Inc. was founded in 1947 and is headquartered in Wilmington, Massachusetts.",Diagnostics & Research,18300,8239256576," 4,015,382,016 ",-0.008,0.34981,0.045089997,-0.03595,-4.2%,81.9,,13.6,,1.652,228.88,91.86,167.37
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/97,316709,1971,"The Charles Schwab Corporation, together with its subsidiaries, operates as a savings and loan holding company that provides wealth management, securities brokerage, banking, asset management, custody, and financial advisory services in the United States and internationally. The company operates in two segments, Investor Services and Advisor Services. It offers brokerage accounts with equity and fixed income trading, margin lending, options trading, futures and forex trading, and cash management capabilities, including money market funds, and certificates of deposit; third-party mutual funds through the Mutual Fund Marketplace and Mutual Fund OneSource service, as well as mutual fund trading and clearing services to broker-dealers; exchange-traded funds; advisory solutions for managed portfolios, separately managed accounts, customized personal advice for tailored portfolios, specialized planning, and full-time portfolio management; banking products comprising checking and savings accounts, first lien residential real estate mortgage loans, home equity lines of credit, and pledged asset lines; and trust custody services, personal trust reporting services, and administrative trustee services. It provides digital and software based trading platforms; research tools, and multichannel support, real-time market data, options trading; equity compensation plan sponsors full-service recordkeeping for stock plans, stock options, restricted stock, performance shares, and stock appreciation rights; retirement plan services; mutual fund clearing services; and advisor services, including interactive tools and educational content. The Company operates through branch offices. The Charles Schwab Corporation was founded in 1971 and is headquartered in Westlake, Texas.",Capital Markets,33000,1.65557E+11," 23,921,000,448 ",0.189,0.97407997,0.49683997,0.37005,18.1%,115.3,20.0,13.7,1.36,0.919,107.5,65.88,93.17
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/16,1091667,1993,"Charter Communications, Inc. operates as a broadband connectivity company in the United States. The company offers subscription-based internet, mobile, video, and voice services; broadband connectivity services, including fixed internet, WiFi, and mobile; Spectrum internet products; advanced WiFi services; and in-home WiFi, which provides customers with high performance wireless routers and managed WiFi services to enhance their wireless internet experience. It also offers wireline voice communications services using voice over internet protocol technology; Call Guard, an advanced caller ID and robocall blocking solution; video programming and video services, including access to an interactive programming guide with parental controls, video on demand and pay-per-view services; and broadband communications solutions, such as internet access, data networking, fiber connectivity, video entertainment, and business telephone services. In addition, the company provides advertising services on cable television networks, various streaming services, and advertising platforms for local, regional and national businesses. Further, it offers production and technical services for regional sports networks; owns and manages local news channels, including Spectrum News NY1® and Spectrum News SoCal; and delivers broadband connectivity solutions to apartments, single-family gated communities, off-campus student housing, senior residences, and RV parks. The company was founded in 1993 and is headquartered in Stamford, Connecticut.",Telecom Services,91900,28383356928," 54,774,001,664 ",-0.023,0.55309,0.24741,0.09105,28.7%,482.3,6.1,4.5,,1.023,437.06,180.38,219.33
